Year,Global_Sales
1980.0,11.379999999999999
1981.0,35.77
1982.0,28.86
1983.0,16.79
1984.0,50.36
1985.0,53.940000000000005
1986.0,37.07
1987.0,21.74
1988.0,47.22
1989.0,73.45
1990.0,49.39
1991.0,32.23
1992.0,76.16
1993.0,45.980000000000004
1994.0,79.17
1995.0,88.11
1996.0,199.15
1997.0,200.98
1998.0,256.47
1999.0,251.27
2000.0,201.56
2001.0,331.47
2002.0,395.52
2003.0,357.85
2004.0,419.31
2005.0,459.94
2006.0,521.04
2007.0,611.13
2008.0,678.9
2009.0,667.3
2010.0,600.45
2011.0,515.99
2012.0,363.54
2013.0,368.11
2014.0,337.05
2015.0,264.44
2016.0,70.92999999999999
2017.0,0.05
2020.0,0.29
